Time:1000Hz,Epoch,Channel 1,Channel 2,Event Id,Event Date,Event Duration
0.552,552,-30638.32,8461.13,,,
0.553,553,-30641.51,8456.46,,,
0.554,554,-30636.7,8458.38,,,
0.555,555,-30626.58,8465.52,,,
0.556,556,-30615.06,8475.12,,,
0.557,557,-30605.43,8484.44,,,
0.558,558,-30598.95,8492,,,
0.559,559,-30594.65,8498.02,,,
0.56,560,-30590.4,8503.79,,,
0.561,561,-30584.53,8510.39,,,
0.562,562,-30577.27,8517.5,,,
0.563,563,-30570.97,8523.12,,,
0.564,564,-30569.14,8524.25,,,
0.565,565,-30574.65,8518.43,,,
0.566,566,-30588.11,8505.12,,,
0.567,567,-30607.2,8486.39,,,
0.568,568,-30627.36,8466.35,,,
0.569,569,-30643.41,8449.75,,,
0.57,570,-30651.38,8440.35,,,
0.571,571,-30649.76,8439.72,,,
0.572,572,-30639.62,8447.04,,,
0.573,573,-30623.85,8459.73,,,
0.574,574,-30605.97,8474.53,,,
0.575,575,-30589.11,8488.51,,,
0.576,576,-30575.51,8499.55,,,
0.577,577,-30566.54,8506.38,,,
0.578,578,-30562.94,8508.38,,,
0.579,579,-30564.96,8505.41,,,
0.58,580,-30572.24,8497.87,,,
0.581,581,-30583.68,8486.85,,,
0.582,582,-30597.43,8474.09,,,
0.583,583,-30611.21,8461.75,,,
0.584,584,-30622.92,8451.82,,,
0.585,585,-30631.12,8445.62,,,
0.586,586,-30635.32,8443.51,,,
0.587,587,-30635.68,8445.06,,,
0.588,588,-30632.57,8449.49,,,
0.589,589,-30626.14,8456.16,,,
0.59,590,-30616.43,8464.74,,,
0.591,591,-30603.74,8475,,,
0.592,592,-30589.31,8486.36,,,
0.593,593,-30575.52,8497.53,,,
0.594,594,-30565.52,8506.61,,,
0.595,595,-30562.21,8511.65,,,
0.596,596,-30566.99,8511.4,,,
0.597,597,-30579.04,8505.88,,,
0.598,598,-30595.46,8496.5,,,
0.599,599,-30612.26,8485.42,,,
0.6,600,-30625.91,8474.81,,,
0.601,601,-30634.51,8466.1,,,
0.602,602,-30638.08,8459.84,,,
0.603,603,-30637.95,8456.04,,,
0.604,604,-30635.58,8454.82,,,
0.605,605,-30631.55,8456.74,,,
0.606,606,-30625.32,8462.73,,,
0.607,607,-30615.95,8473.35,,,
0.608,608,-30603.11,8488.03,,,
0.609,609,-30588.07,8504.58,,,
0.61,610,-30573.63,8519.54,,,
0.611,611,-30563.32,8529.25,,,
0.612,612,-30559.93,8531.14,,,
0.613,613,-30564.35,8524.71,,,
0.614,614,-30575.2,8511.72,,,
0.615,615,-30589.53,8495.35,,,
0.616,616,-30604.05,8479.03,,,
0.617,617,-30616.39,8465.21,,,
0.618,618,-30625.59,8454.94,,,
0.619,619,-30631.78,8448.13,,,
0.62,620,-30635.36,8444.36,,,
0.621,621,-30636.24,8443.64,,,
0.622,622,-30633.66,8446.66,,,
0.623,623,-30626.72,8454.32,,,
0.624,624,-30615.3,8466.93,,,
0.625,625,-30600.73,8483.43,,,
0.626,626,-30585.71,8501.26,,,
0.627,627,-30573.54,8516.89,,,
0.628,628,-30566.93,8526.93,,,
0.629,629,-30567.07,8529.17,,,
0.63,630,-30573.31,8523.27,,,
0.631,631,-30583.67,8510.69,,,
0.632,632,-30595.73,8494.14,,,
0.633,633,-30607.42,8476.74,,,
0.634,634,-30617.37,8461.3,,,
0.635,635,-30624.68,8449.93,,,
0.636,636,-30628.62,8443.96,,,
0.637,637,-30628.34,8443.96,,,
0.638,638,-30623.22,8449.74,,,
0.639,639,-30613.32,8460.39,,,
0.64,640,-30599.92,8474.25,,,
0.641,641,-30585.42,8489.1,,,
0.642,642,-30572.71,8502.62,,,
0.643,643,-30564.23,8512.83,,,
0.644,644,-30561.15,8518.48,,,
0.645,645,-30563.18,8519.14,,,
0.646,646,-30569.2,8514.97,,,
0.647,647,-30578.08,8506.39,,,
0.648,648,-30589.38,8493.86,,,
0.649,649,-30603.28,8477.97,,,
0.65,650,-30619.81,8459.86,,,
0.651,651,-30637.82,8441.52,,,
0.652,652,-30654.48,8425.82,,,
0.653,653,-30665.78,8415.91,,,
0.654,654,-30668.02,8414.24,,,
0.655,655,-30659.65,8421.53,,,
0.656,656,-30642.4,8436.19,,,
0.657,657,-30621.03,8454.68,,,
0.658,658,-30601.63,8472.6,,,
0.659,659,-30589.14,8486.19,,,
0.66,660,-30585.4,8493.54,,,
0.661,661,-30588.56,8494.94,,,
0.662,662,-30594.36,8492.26,,,
0.663,663,-30598.52,8487.66,,,
0.664,664,-30599.05,8482.41,,,
0.665,665,-30597.25,8476.34,,,
0.666,666,-30596.88,8468.27,,,
0.667,667,-30601.88,8457.15,,,
0.668,668,-30613.87,8443.29,,,
0.669,669,-30630.74,8428.94,,,
0.67,670,-30647.16,8417.85,,,
0.671,671,-30656.8,8413.89,,,
0.672,672,-30655.14,8419.4,,,
0.673,673,-30641.62,8434.01,,,
0.674,674,-30619.94,8454.54,,,
0.675,675,-30596.56,8476.04,,,
0.676,676,-30578.05,8493.54,,,
0.677,677,-30568.61,8503.71,,,
0.678,678,-30568.92,8505.73,,,
0.679,679,-30576.59,8501.15,,,
0.68,680,-30587.81,8492.77,,,
0.681,681,-30599.27,8483.27,,,
0.682,682,-30609.33,8474.26,,,
0.683,683,-30617.96,8466.01,,,
0.684,684,-30625.84,8458.03,,,
0.685,685,-30633.15,8450.02,,,
